"name","title","description","updated"
"81431ned","Werkgelegenheid; banen, lonen, arbeidsduur, SBI2008; kerncijfers","Banen, arbeidsduur en loon uitgesplitst naar economische activiteit 
en kenmerken van baan, werknemer en bedrijf.","2016-09-06T02:00:00"
"83047NED","Arbeidsverleden bevolking afgelopen 4 jaar, gemeentelijke indeling 2015","Arbeidsverleden, arbeidsparticipatie, werkgelegenheid van Nederlandse
bevolking voortdurend werkzaam, gedeeltelijk werkzaam, niet-werkzaam","2016-02-04T02:00:00"
"81462ned","Werkgelegenheid; geslacht, dienstverband, bedrijfsgrootte, cao-sector","Banen, arbeidsvolume en loon naar geslacht, dienstverband, caosector en
het aantal werknemers","2016-09-06T02:00:00"
"81432ned","Werkgelegenheid; geslacht, dienstverband, bedrijfsgrootte, SBI2008","Banen en arbeidsvolume uitgesplitst naar economische activiteit,
werknemer- en baankenmerken.","2016-09-06T02:00:00"
"81463ned","Werkgelegenheid; geslacht, dienstverband, kenmerken baan, cao-sector","Banen, arbeidsvolume en loon naar geslacht, dienstverband, caosector en
en verschillende kenmerken van een baan.","2016-09-06T02:00:00"
"81433ned","Werkgelegenheid; geslacht, dienstverband, kenmerken baan, SBI2008","Banen en arbeidsvolume uitgesplitst naar economische activiteit,
kenmerken werknemer en baankenmerken","2016-09-06T02:00:00"
"81464ned","Werkgelegenheid; geslacht, dienstverband, kenmerken werknemer, cao-sector","Banen, arbeidsvolume en loon voor alle mannen en vrouwen
naar dienstverband, caosector,leeftijd en nationaliteit.","2016-09-06T02:00:00"
"81434ned","Werkgelegenheid; geslacht, dienstverband, kenmerken werknemer, SBI2008","Banen en arbeidsvolume uitgesplitst naar economische activiteit,
kenmerken werknemer, kenmerken baan en geslacht.","2016-09-06T02:00:00"
"71738ned","Arbeidsdeelname; kerncijfers (12-uursgrens)","Beroepsbevolking, werkzame personen en ingeschrevenen bij het UWV
naar geslacht, leeftijd, onderwijsniveau, herkomst","2016-08-12T09:30:00"
"80068ned","Beroepsbevolking; provincie vanaf 1981 naar geslacht (12-uursgrens)","Beroepsbevolking, bruto en netto arbeidsparticipatie, werkloosheid
naar geslacht en provincie","2015-03-18T02:00:00"
"71882ned","Beroepsbevolking; vanaf 1800 (12-uursgrens)","Beroepsbevolking, bruto en netto arbeidsparticipatie, werkloosheid
naar geslacht, leeftijd, opleidingsniveau en herkomst","2015-03-18T02:00:00"
"82309NED","Arbeidsdeelname; kerncijfers ","Beroepsbevolking, werkloosheidspercentage, arbeidsparticipatie
Geslacht, leeftijd, onderwijsniveau","2016-08-12T09:30:00"
"82922NED","Arbeidsdeelname; binding met de arbeidsmarkt","Werkzaam en niet-werkzaam, willen werken, redenen niet willen werken
Geslacht, leeftijd, onderwijsniveau","2016-08-12T09:30:00"
"82809NED","Arbeidsdeelname; herkomst","Beroepsbevolking, werkloosheidspercentage, arbeidsparticipatie
Herkomst, autochtoon, allochtoon, geslacht, leeftijd","2016-09-06T02:00:00"
"82915NED","Arbeidsdeelname; jongeren","Beroepsbevolking, werkloosheidspercentage, arbeidsparticipatie
Jongeren (15 tot 25 jaar), geslacht, onderwijsdeelname","2016-08-12T09:30:00"
"83031NED","Arbeidsdeelname; onderwijsniveau","Beroepsbevolking, werkloosheidspercentage, arbeidsparticipatie
Geslacht, leeftijd, onderwijsniveau","2016-08-12T09:30:00"
"82914NED","Arbeidsdeelname; ouderen","Beroepsbevolking, werkloosheidspercentage, arbeidsparticipatie
Ouderen (55 jaar of ouder), geslacht","2016-08-11T02:00:00"
"82919NED","Arbeidsdeelname; paren","Arbeidsparticipatie en arbeidsduur van paren
Aantal (thuiswonende) kinderen en leeftijd jongste kind","2016-08-12T09:30:00"
"82956NED","Arbeidsdeelname; positie in het huishouden","Beroepsbevolking, werkloosheidspercentage, arbeidsparticipatie
Positie huishouden, geslacht, leeftijd","2016-08-12T09:30:00"
"83360NED","Arbeidsdeelname; regionale indeling 2015","Beroepsbevolking, werkloosheidspercentage, arbeidsparticipatie
Regio, geslacht, leeftijd, onderwijsniveau","2016-06-10T02:00:00"
"82953NED","Arbeidsdeelname; startkwalificatie","Beroepsbevolking, werkloosheidspercentage, arbeidsparticipatie
Startkwalificatie, geslacht, leeftijd, herkomst","2016-08-12T09:30:00"
"83152NED","Beroeps- en niet-beroepsbevolking; gemiddeld inkomen en arbeidspositie ","Persoonlijk (primair), overdrachts en gestandaardiseerd inkomen
Arbeidsdeelname en persoonskenmerken","2016-01-29T02:00:00"
"80597ned","Baanvinders, baanwisselaars en onbenut arbeidsaanbod (12-uursgrens)","Baanvinders, baanwisselaars en onbenut arbeidsaanbod
naar geslacht en andere achtergrondkenmerken","2014-11-19T02:00:00"
"80024ned","Beroepenmobiliteit naar beroepsklassen (12-uursgrens)","Beroepenmobiliteit
Beroepsklassen","2013-05-14T02:00:00"
"80029ned","Beroepenmobiliteit; overgang van niveau, naar kenmerken (12-uursgrens)","Beroepenmobiliteit
beroepsniveau, beroepsrichting, kenmerken","2013-06-28T02:00:00"
"80547ned","Verandering werkkring van werknemers en zelfstandige na één jaar (12-uur)","Van werkkring veranderd naar
geslacht, leeftijd, beroepenmobiliteit, scholing.","2013-06-28T02:00:00"
"83066NED","Arbeidsdeelname; wisselingen arbeidspositie per kwartaal en jaar","Wisselingen werkzaam, werkloos, niet-beroepsbevolking, verandering van 
arbeidspositie, arbeidsmarktdynamiek, -wisselingen per kwartaal en jaar","2016-08-11T02:00:00"
"83161NED","Arbeidsdeelname; wisseling arbeidspositie niet-beroepsbevolking","Wisselingen werkzaam, werkloos, niet-beroepsbevolking, verandering van 
positie binding arbeidsmarkt, dynamiek niet-beroepsbevolking","2016-08-11T02:00:00"
"82848NED","Arbeidsdeelname; wisselingen arbeidspositie na drie maanden, per maand","Wisselingen werkzaam, werkloos, niet-beroepsbevolking, verandering van 
arbeidspositie, arbeidsmarktdynamiek maandcijfers arbeidsmarktwisselingen","2016-09-15T07:30:00"
"81571NED","Werknemers; inkomstenbron vóór instroom of na uitstroom uit arbeid","Werknemers en hun inkomstenbron vóór instroom of na uitstroom uit arbeid
Geslacht, leeftijd begin periode, herkomst, economische activiteit","2016-03-01T02:00:00"
"83120NED","Werkzame beroepsbevolking; wisseling van beroepsklasse","Wisseling beroep, verandering beroep, functie wisseling, verandering
functie, beroepsdynamiek, richting beroep, richting functie","2016-09-14T09:30:00"
"83119NED","Werkzame beroepsbevolking; wisseling van beroepsniveau ","Wisseling beroep, verandering beroep, verandering functie, functieniveau
functie wisseling, dynamiek beroep, beroepsniveau, baanwisseling ","2016-09-14T09:30:00"
"80479ned","Arbeidsdeelname en werkloosheid per maand (12-uursgrens)","Werkzame, werkloze en niet beroepsbevolking, werkloosheidspercentage
naar geslacht en leeftijd","2016-09-15T07:30:00"
"81031ned","Werkloze beroepsbevolking; baanvindduur en persoonskenmerken (12-uursgrens)","Baanvindduren werkloze beroepsbevolking naar geslacht, leeftijd, 
herkomst, opleidingsniveau, werkloosheidsduur","2015-02-13T09:30:00"
"80590ned","Arbeidsdeelname en werkloosheid per maand ","Werkzame, werkloze en niet beroepsbevolking volgens internationale 
definitie naar geslacht en leeftijd","2016-09-15T07:30:00"
"81075ned","Werkloze beroepsbevolking; werkloosheidsduur en kenmerken","Werkloosheidsduur werklozen langdurig werklozen
geslacht, leeftijd, herkomst en opleidingsniveau","2016-05-20T02:00:00"
"83460NED","Werkloze beroepsbevolking; werkloosheidsduur per kwartaal","Langdurig werklozen, werkloosheidsduur werklozen, langdurig werkloos
naar leeftijd en geslacht, werkloze ouderen, lang werkloos","2016-08-11T02:00:00"
"71959ned","Beroepsbevolking; regeling werktijden (12-uursgrens)","Werkzame personen, beroepsbevolking, werkloosheid
naar geslacht en andere persoonskenmerken","2014-04-01T02:00:00"
"71960ned","Beroepsbevolking; woon-werkverkeer (12-uursgrens)","Werkzame beroepsbevolking, ligging werkadres, reisafstand, vervoermiddel
naar geslacht en andere persoonskenmerken","2014-06-27T02:00:00"
"71906ned","Overwerken; achtergrondkenmerken (12-uursgrens)","Werknemers die regelmatig overwerken
naar geslacht en andere achtergrondkenmerken","2014-06-27T02:00:00"
"80802ned","Werkzame beroepsbevolking; vergrijzing per bedrijfstak SBI'93","werkzame beroepsbevolking; gemiddelde leeftijd; generatie-index
geslacht, leeftijd, herkomst, positie werkkring, sbi, opleidingsniveau","2016-02-15T06:30:00"
"80832ned","Werkzame beroepsbevolking; vergrijzing naar bedrijfstak SBI 2008","werkzame beroepsbevolking; gemiddelde leeftijd; generatie-index
geslacht, leeftijd, herkomst, positie werkkring, sbi, opleidingsniveau","2016-02-15T06:30:00"
"82920NED","Werknemers; combibanen","Werknemers
Positie in eerste en tweede werkkring, geslacht, leeftijd","2016-08-12T09:30:00"
"82917NED","Werkzame beroepsbevolking; meer of minder willen werken","Werkzame beroepsbevolking
Gewenste arbeidsduur, geslacht, positie in de werkkring, arbeidsduur","2016-08-12T09:30:00"
"82646NED","Werkzame beroepsbevolking; positie in de werkkring","Werkzame beroepsbevolking, flexwerker, zzp
Positie in de werkkring, geslacht, leeftijd, onderwijsniveau, arbeidsduur","2016-08-12T09:30:00"
"82916NED","Werkzame beroepsbevolking; anciënniteit","Werkzame beroepsbevolking, anciënniteit
Geslacht, leeftijd, onderwijsniveau, positie in de werkkring, arbeidsduur","2016-08-12T09:30:00"
"82647NED","Werkzame beroepsbevolking; arbeidsduur","Werkzame beroepsbevolking, arbeidsduur
Geslacht, leeftijd, onderwijsniveau, positie in de werkkring","2016-08-12T09:30:00"
"82807NED","Werkzame beroepsbevolking; bedrijfstakken SBI 2008","Werkzame beroepsbevolking
Geslacht, persoonskenmerken, Bedrijfstakken en branches SBI 2008","2016-05-17T02:00:00"
"82808NED","Werkzame beroepsbevolking; beroep","Werkzame beroepsbevolking
Beroep, persoonskenmerken, kenmerken werkkring","2016-08-12T09:30:00"
"83153NED","Werkzame beroepsbevolking; gemiddeld inkomen","Persoonlijk (primair) en gestandaardiseerd inkomen, werkzamen
Geslacht, positie werkkring, arbeidsduur en persoonskenmerken","2016-05-18T02:00:00"
"83294NED","Arbeid; Kerncijfers geboortegeneratie vanaf 1910 tot 1915","Arbeidsparticipatie, arbeidsrelatie, inkomen en uitkering
naar geboortegeneratie en leeftijd, cohort en leeftijd","2016-03-31T02:00:00"
"82433NED","Arbeidsparticipatie personen en partner; geboortegeneratie vanaf 1925-1929","Arbeidsparticipatie, verdienerstype en arbeidsduur van paren 
naar geboortegeneratie, geslacht en leeftijd","2016-03-31T02:00:00"
"82837NED","Hoogst behaald onderwijsniveau, -richting personen; geboortegeneratie","Onderwijsniveau, onderwijsrichting naar geboortegeneratie en leeftijd
Opleidingsniveau, opleidingsrichting, cohort","2015-09-28T02:00:00"
"82148NED","Personen met baan; leeftijd, herkomstgroepering, geboortegeneratie","Personen met een baan, maandloon
Geslacht, leeftijd, herkomstgroepering, geboortegeneratie","2015-03-09T02:00:00"
"82149NED","Personen met uitkering; leeftijd, herkomstgroepering, geboortegeneratie","Personen met uitkering; geboortegeneratie, voortdurende of gedeeltelijke 
uitkering, geslacht, leeftijd, wel of geen baan, herkomstgroepering","2015-03-09T02:00:00"
"70924NED","Arbeidskosten particuliere bedrijven per bedrijfstak >= 10 werknemers","Arbeidskosten van particuliere bedrijven met 10 of meer werknemers
Naar bedrijfstak (SBI 10 - 74)","2012-08-10T02:00:00"
"81774NED","Arbeidskosten; kerncijfers, structuur arbeidskosten, bedrijfstak (SBI2008)","Arbeidskosten van bedrijven
Naar bedrijfstak (SBI2008)","2015-03-31T02:00:00"
"82871NED","Arbeidskosten; bedrijfsgrootte, bedrijfstak, 2012","Arbeidskosten naar 
bedrijfstak (1 digit, SBI 2008) en aantal werkzame personen","2014-12-01T02:00:00"
"82845NED","Arbeidskosten; structuur arbeidskosten, bedrijfsklasse, 2012","Arbeidskosten, structuur van de arbeidskosten naar
bedrijfsklasse (SBI 2008 2-digit)","2014-12-01T02:00:00"
"82853NED","Arbeidskosten; structuur arbeidskosten, arbeidsduur, bedrijfstak, 2012","Arbeidskosten, structuur van arbeidskosten en structuur van arbeidsduur
naar bedrijfstak (SBI 2008)","2014-12-01T02:00:00"
"82679NED","Prijs van arbeid; index 2010=100; nationale rekeningen","Prijsindex arbeid (loonkosten per gewerkt uur)
Naar bedrijfstak","2016-07-25T02:00:00"
"81486ned","Werkgelegenheid en minimumloon, kenmerken baan, cao (SBI2008)","Aantal banen minimumloners, arbeidsvolume minimumloners uitgesplitst naar
kenmerken van de baan, bedrijfsgrootte en economische activiteit.","2015-11-10T02:00:00"
"81405ned","Werkgelegenheid en minimumloon; kenmerken baan, bedrijfsgrootte, SBI2008","Aantal banen minimumloners, arbeidsvolume minimumloners uitgesplitst naar
kenmerken van de baan, bedrijfsgrootte en economische activiteit.","2015-11-10T02:00:00"
"81487ned","Werkgelegenheid en minimumloon, kenmerken werknemer, cao (SBI2008)","Werkgelegenheidstabel met aantal banen van werknemers, die het minimum-
loon verdienen per CAO naar leeftijd en geslacht. ","2015-11-10T02:00:00"
"81406ned","Werkgelegenheid en minimumloon; kenmerken werknemer, SBI2008","Aantal banen minimumloners, arbeidsvolume minimumloners uitgesplitst naar
kenmerken werknemer en economische activiteit.","2015-11-10T02:00:00"
"82578NED","Beloning en arbeidsvolume van werknemers, bedrijfstak; nationale rekeningen","Beloning van werknemers, lonen, arbeidsjaren, gewerkte uren, banen
Bedrijfstakken, voltijdbanen, deeltijdbanen, geslacht","2016-06-24T06:30:00"
"82577NED","Beloning en arbeidsvolume van werknemers, kwartalen; nationale rekeningen","De beloning van werknemers en banen (naar geslacht), arbeidsjaren,
gewerkte uren per kwartaal en naar bedrijfstak","2016-08-12T09:30:00"
"81901NED","Beloningsverschillen tussen mannen en vrouwen; kenmerken baan, werknemer","Beloningsverschillen tussen mannen en vrouwen naar kenmerken van de baan,
het bedrijf of de werknemer","2015-11-10T02:00:00"
"81920NED","Beloningsverschillen tussen mannen en vrouwen; bedrijfstakken (SBI 2008)","Beloningsverschillen tussen mannen en vrouwen per bedrijfstak
volgens de SBI 2008","2015-11-10T02:00:00"
"82838NED","Cao-lonen, contractuele loonkosten en arbeidsduur; indexcijfers (2010=100)","Cao-lonen, contractuele loonkosten en arbeidsduur
Indexcijfers (2010=100) naar cao-sector en SBI 2008.","2016-09-01T02:00:00"
"71503NED","Loonstructuuronderzoek (LSO); bedrijfskenmerken en beroep","Loonstructuuronderzoek (LSO), banen en bruto loon per uur, maand en jaar
naar bedrijfsgrootte, SBI'93 en beroep.","2007-10-02T02:00:00"
"71504NED","Loonstructuuronderzoek (LSO); cao en beroep","Loonstructuuronderzoek (LSO), banen en bruto loon per uur, maand en jaar
naar cao - sector en beroep.","2007-10-02T02:00:00"
"71502NED","Loonstructuuronderzoek (LSO); dienstverband; arbeidsduur  en beroep","Loonstructuuronderzoek (LSO), banen en bruto loon per uur, maand en jaar
naar dienstverband, arbeidsduur en beroep.","2007-10-02T02:00:00"
"71500NED","Loonstructuuronderzoek (LSO); geslacht, leeftijd en beroep","Loonstructuuronderzoek (LSO), banen en bruto loon per uur, maand en jaar
naar geslacht, leeftijd en beroep.","2007-10-02T02:00:00"
"71501NED","Loonstructuuronderzoek (LSO); herkomstgroepering en beroep","Loonstructuuronderzoek (LSO), banen en bruto loon per uur, maand en jaar
naar herkomst en beroep.","2007-10-02T02:00:00"
"71498NED","Loonstructuuronderzoek (LSO); bedrijfskenmerken en opleiding","Loonstructuuronderzoek (LSO), banen en bruto loon per uur, maand en jaar
naar bedrijfsgrootte, SBI'93 en opleiding.","2007-10-02T02:00:00"
"71499NED","Loonstructuuronderzoek (LSO) ; cao en opleiding","Loonstructuuronderzoek (LSO), banen en bruto loon per uur, maand en jaar
naar cao - sector en opleiding.","2007-10-02T02:00:00"
"71497NED","Loonstructuuronderzoek (LSO); dienstverband, arbeidsduur en opleiding","Loonstructuuronderzoek (LSO), banen en bruto loon per uur, maand en jaar
naar dienstverband, arbeidsduur en opleiding.","2007-10-02T02:00:00"
"71495ned","Loonstructuuronderzoek (LSO); geslacht, leeftijd en opleiding","Loonstructuuronderzoek (LSO), banen en bruto loon per uur, maand en jaar
naar geslacht, leeftijd en opleiding.","2007-10-02T02:00:00"
"71496NED","Loonstructuuronderzoek (LSO); herkomstgroepering en opleiding","Loonstructuuronderzoek (LSO), banen en bruto loon per uur, maand en jaar
naar herkomst en opleiding.","2007-10-02T02:00:00"
"82961NED","MBO; schoolverlaters, arbeidsmarktpositie","MBO, schoolverlaters, arbeidsmarktpositie
Opleidingsrichting, persoonskenmerken, arbeidsmarktpositie, peilmoment","2015-11-27T02:00:00"
"82963NED","MBO; schoolverlaters, bedrijfstak","MBO schoolverlaters, branche-SBI
Opleidingsrichting, persoonskenmerken, branche-SBI","2015-12-01T02:00:00"
"71565ned","Voortijdig schoolverlaters naar de arbeidsmarkt; baankenmerken","Voortijdig schoolverlaters; arbeidsmarkt, baankenmerken
Onderwijssoort, herkomstgroepering, leeftijd en geslacht","2013-09-10T02:00:00"
"71562ned","Voortijdig schoolverlaters naar de arbeidsmarkt; inkomsten naar regio","Voortijdig schoolverlaters; arbeidsmarkt en inkomsten
Arbeidsmarktpositie, onderwijssoort, leeftijd en regio","2013-09-10T02:00:00"
"71564ned","Voortijdig schoolverlaters naar de arbeidsmarkt; inkomsten uit baan","Voortijdig schoolverlaters; arbeidsmarkt,inkomsten uit baan
Baankenmerken, onderwijssoort en leeftijd","2013-09-10T02:00:00"
"71563ned","Voortijdig schoolverlaters naar de arbeidsmarkt; werk en uitkering","Voortijdig schoolverlaters; arbeidsmarkt, werk en uitkering
Arbeidsmarktpositie, herkomst, onderwijssoort, leeftijd, geslacht","2013-09-10T02:00:00"
"82859NED","Arbeidsmarktsituatie jongeren (15 tot 27 jaar); regio (indeling 2014)","Jongeren op de arbeidsmarkt: wel of niet werkzaam, wel of niet 
onderwijsvolgend, wel of geen uitkering, regionaal","2015-01-21T02:00:00"
"82275NED","Bevolking; hoogst behaald onderwijsniveau; geslacht, leeftijd en herkomst","Hoogst behaald onderwijsniveau bevolking
15 tot 75 jaar laag, middelbaar, hoog onderwijs naar soort en herkomst","2016-08-12T09:30:00"
"71763ned","Pensioenaanspraken van personen; kerncijfers","Pensioen
Geslacht, Leeftijd, Herkomst, Burgerlijke staat","2015-11-20T02:00:00"
"80457ned","Pensioenaanspraken van alleenstaanden en ouders in eenouderhuishoudens","Pensioenen
type huishouden, ooit of nooit gescheiden","2015-11-24T02:00:00"
"80458ned","Pensioenaanspraken van paren met of zonder kinderen","Pensioenen
Type huishouden, ooit of nooit gescheiden","2015-11-25T02:00:00"
"80456ned","Pensioenaanspraken van personen; sociaaleconomische categorie","Pensioenen
sociaaleconomische categorie, leeftijd","2015-11-24T02:00:00"
"80455ned","Pensioenaanspraken van personen; leeftijd, herkomst en burgerlijke staat","Pensioenen
Leeftijd, herkomst, burgerlijke staat","2015-11-24T02:00:00"
"71093ned","Opgebouwde AOW-rechten van personen tussen de 15 en 70 jaar","AOW - aanspraken, opgebouwde rechten.
Geslacht, leeftijd, burgerlijke staat en herkomstgroepering.","2015-12-04T02:00:00"
"80396ned","Van arbeid naar pensioen; personen 55 jaar of ouder","Van arbeid naar pensioen
geslacht, leeftijd, herkomst, bedrijfstakken, opleidingsniveau","2016-03-01T05:30:00"
"83322NED","Arbeidsdeelname; arbeidsgehandicapten","Arbeidsdeelname, arbeidsgehandicapten 
geslacht, leeftijd, onderwijsniveau","2016-07-18T02:00:00"
"70985ned","Arbeidsgehandicapten; geslacht en leeftijd","Arbeidsgehandicapten en niet arbeidsgehandicapten
naar geslacht en leeftijd","2015-11-27T02:00:00"
"83359NED","Werkzame beroepsbevolking; arbeidsgehandicapten, beroepskenmerken","Arbeidsgehandicapten, werkzame beroepsbevolking, beroep, beroepsklasse
beroepsniveau, persoonskenmerken","2016-07-18T02:00:00"
"83158NED","Arbeidsongevallen werknemers; bedrijfstak","Werknemers met arbeidsongeval, verzuim na arbeidsongeval, letsel
Bedrijfstakken, hoofdgroepen, secties en subsecties SBI 2008","2016-05-17T02:00:00"
"83052NED","Arbeidsongevallen werknemers; geslacht en leeftijd","Werknemers met arbeidsongeval, verzuim na arbeidsongeval, letsel
geslacht en leeftijd","2016-05-17T02:00:00"
"83053NED","Arbeidsongevallen werknemers; herkomst en arbeidsduur","Werknemers met arbeidsongeval, verzuim na arbeidsongeval, letsel
Herkomst, arbeidsduur","2016-05-17T02:00:00"
"83156NED","Duurzame inzetbaarheid werknemers; bedrijfstak","Actuele inzetbaarheid werknemers, langer doorwerken, tevredenheid
Bedrijfstakken, hoofdgroepen, secties en subsecties SBI 2008","2016-05-17T02:00:00"
"83054NED","Duurzame inzetbaarheid werknemers; geslacht en leeftijd","Actuele inzetbaarheid werknemers, langer doorwerken, tevredenheid
Geslacht en leeftijd","2016-05-17T02:00:00"
"83055NED","Duurzame inzetbaarheid werknemers; herkomst en arbeidsduur","Actuele inzetbaarheid werknemers, langer doorwerken, tevredenheid
Herkomst, arbeidsduur","2016-06-08T02:00:00"
"83159NED","Fysieke arbeidsbelasting werknemers; bedrijfstak","Fysieke belasting werknemers, geluid, gevaarlijke stoffen beeldschermwerk
Bedrijfstakken, hoofdgroepen, secties en subsecties SBI 2008","2016-05-17T02:00:00"
"83044NED","Fysieke arbeidsbelasting werknemers; geslacht en leeftijd","Fysieke belasting werknemers, geluid, gevaarlijke stoffen beeldschermwerk
geslacht en leeftijd","2016-05-17T02:00:00"
"83045NED","Fysieke arbeidsbelasting werknemers; herkomst en arbeidsduur","Fysieke belasting werknemers, geluid, gevaarlijke stoffen beeldschermwerk
Herkomst, arbeidsduur","2016-06-08T02:00:00"
"83157NED","Psychosociale arbeidsbelasting (PSA) werknemers; bedrijfstak","PSA werknemers, werkdruk, burn-out, agressie, pesten, intimidatie
Bedrijfstakken, hoofdgroepen, secties en subsecties SBI 2008","2016-06-10T02:00:00"
"83050NED","Psychosociale arbeidsbelasting (PSA) werknemers; herkomst en arbeidsduur","PSA werknemers, werkdruk, burn-out, agressie, pesten, intimidatie
herkomst, arbeidsduur","2016-06-10T02:00:00"
"83049NED","Psychosociale arbeidsbelasting (PSA) werknemers; geslacht en leeftijd","PSA werknemers, werkdruk, burn-out, agressie, pesten, intimidatie
Geslacht, leeftijd","2016-06-10T02:00:00"
"83234NED","Psychosociale arbeidsbelasting zelfstandig ondernemers; geslacht, leeftijd","werkdruk, autonomie, slachtofferschap, burn-out klachten
zelfstandig ondernemers, geslacht, leeftijd","2015-12-08T02:00:00"
"83235NED","Psychosociale arbeidsbelasting zelfstandig ondernemers; type ondernemer    ","werkdruk, autonomie, slachtofferschap, burn-out klachten
zelfstandig ondernemers, type zelfstandig ondernemer","2015-12-08T02:00:00"
"70061ned","Historie leden vakverenigingen","Historie leden vakverenigingen.
Vakcentrales en Overige vakverenigingen","2015-10-29T02:00:00"
